Recall Number,Open Date,Year,Class(R),Class(A),Pounds Recalled,Product,Problem Type
107-2016,15/11/2016,2016,II,2,108,Beef Shepherd's Pie,Undeclared Allergen
108-2016,17/11/2016,2016,II,2,237891,Pork Barbecue Products,Undeclared Allergen
109-2016,17/11/2016,2016,I,1,932,Cured Dried Pork Loin,Processing Defect
110-2016,18/11/2016,2016,I,1,4059,Chicken Breasts,Processing Defect
111-2016,22/11/2016,2016,I,1,5022,Pork Homestyle Gravy,Undeclared Allergen
112-2016,22/11/2016,2016,II,2,191695,RTE Roasted Chicken Quarters,Undeclared Allergen
113-2016,22/11/2016,2016,I,1,455,Chicken Chili Soup,Listeria monocytogenes
114-2016,23/11/2016,2016,I,1,305,Meatballs,Undeclared Allergen
115-2016,23/11/2016,2016,I,1,1993528,Various RTE Chicken Products,Processing Defect
116-2016,08/12/2016,2016,I,1,79,Meatloaf,Undeclared Allergen
117-2016,12/12/2016,2016,III,3,50991,Raw Beef Products,Other
118-2016,15/12/2016,2016,I,1,23040,Breaded veal products,Undeclared Allergen
119-2016,21/12/2016,2016,II,2,23544,Beef and Cheese Tortilla Products,Extraneous Material
120-2016,22/12/2016,2016,I,1,7629,Pork Skin Products,Salmonella
121-2016,22/12/2016,2016,I,1,4607,Boneless Veal,E. coli
122-2016,24/12/2016,2016,I,1,25332,Poultry and Rice Entrees,Undeclared Allergen
001-2017,05/01/2017,2017,III,3,1288,Raw sausage products,Undeclared Substance
002-2017,09/01/2017,2017,I,1,2330,Chicken Breast Tenders,Extraneous Material
003-2017,10/01/2017,2017,I,1,3546,Lemon Pepper Chicken Entrees,Undeclared Allergen
004-2017,12/01/2017,2017,I,1,3096,Chicken Soup,Undeclared Allergen
005-2017,14/01/2017,2017,I,1,1124,Pork spare ribs and rib tips,Other
006-2017,18/01/2017,2017,III,3,1905,Fully Cooked Turkey without Giblets,Undeclared Substance
007-2017,18/01/2017,2017,III,3,204,Chicken salad,Other
008-2017,19/01/2017,2017,I,1,1080,sweet chili chicken ,Undeclared Allergen
009-2017,20/01/2017,2017,I,1,6348,Ready to Eat Chicken products,Processing Defect
010-2017,25/01/2017,2017,III,3,2579,Pork Sausages,Undeclared Substance
011-2017,07/02/2017,2017,I,1,45,Chili Flavored Soups w/chkn or beef,Undeclared Allergen
012-2017,11/02/2017,2017,I,1,6630,Chicken and pork salad products,Listeria monocytogenes
013-2017,15/02/2017,2017,III,3,999419,Chicken sausage products,Undeclared Substance
014-2017,22/02/2017,2017,I,1,468,Mortadella,Undeclared Allergen
015-2017,22/02/2017,2017,I,1,59225,Chicken Salad Products,Listeria monocytogenes
016-2017,28/02/2017,2017,I,1,3236,RTE Meat and Poultry Products,Listeria monocytogenes
017-2017,28/02/2017,2017,I,1,12610,RTE Breaded White Meat Chicken Bite,Processing Defect
018-2017,01/03/2017,2017,I,1,140,Seasoned Ground Pork and Beef,Undeclared Allergen
019-2017,01/03/2017,2017,I,1,151,Beef Jerky,Other
020-2017,02/03/2017,2017,I,1,40680,Veal products,E. coli
021-2017,06/03/2017,2017,III,3,8430,Shaved Steak,Extraneous Material
022-2017,06/03/2017,2017,III,3,13330,Raw pork sausage products ,Undeclared Substance
023-2017,09/03/2017,2017,I,1,63252,Ready to eat beef products,Extraneous Material
024-2017,09/03/2017,2017,I,1,5750,Salami and Soppressata,Undeclared Allergen
025-2017,15/03/2017,2017,I,1,21220,"Marketside  16 supreme pizzas""",Listeria monocytogenes
026-2017,16/03/2017,2017,I,1,8622,Breakfast Burrito,Extraneous Material
027-2017,19/03/2017,2017,I,1,73742,Boneless Beef,E. coli
028-2017,21/03/2017,2017,I,1,178335,Pork Dumpling products,Other
029-2017,22/03/2017,2017,II,2,22466,Beef venison and ostrich jerky ,Undeclared Allergen
030-2017,23/03/2017,2017,I,1,933272,RTE breaded chicken products,Extraneous Material
031-2017,24/03/2017,2017,II,2,35168,RTE Beef products,Extraneous Material
032-2017,24/03/2017,2017,II,2,1695,Siluriformes fish (catfish),Residue
033-2017,05/04/2017,2017,I,1,150,Chicken Salad,Undeclared Allergen
034-2017,08/04/2017,2017,I,1,3434,Baby Greens w/Turkey & Mango salad,Undeclared Allergen
035-2017,20/04/2017,2017,I,1,30537,Chicken w/ Cheese and Bean Burrito,Undeclared Allergen
036-2017,22/04/2017,2017,I,1,4185,Chicken Soups,Undeclared Allergen
037-2017,24/04/2017,2017,I,1,42147,RTE Chicken Breasts,Processing Defect
038-2017,24/04/2017,2017,I,1,139909,RTE smoked and poultry sausages,Extraneous Material
039-2017,25/04/2017,2017,I,1,8822,RTE Hams,Listeria monocytogenes
040-2017,27/04/2017,2017,I,1,0,Ground Beef,E. coli
041-2017,27/04/2017,2017,II,2,131880,Chicken breast patties,Extraneous Material
042-2017,03/05/2017,2017,I,1,24768,RTE Ham and Cheese Quiche products,Other
043-2017,03/05/2017,2017,I,1,8685,Beef Chili Colorado products,Undeclared Allergen
044-2017,04/05/2017,2017,I,1,5620,Raw beef veal and pork products,E. coli
045-2017,06/05/2017,2017,I,1,2148,Harvestland Fully Cooked Organic It,Extraneous Material
046-2017,08/05/2017,2017,I,1,4015,Beef patties ,Undeclared Allergen
047-2017,10/05/2017,2017,I,1,5946,Turkey ham and cheese sandwiches,Listeria monocytogenes
048-2017,11/05/2017,2017,II,2,1495,Raw young whole chicken ,Residue
049-2017,12/05/2017,2017,I,1,130071,Frozen entree products,Listeria monocytogenes
050-2017,13/05/2017,2017,I,1,252854,Ready to eat burritos,Listeria monocytogenes
051-2017,18/05/2017,2017,I,1,1210,Beef Bone and Spicy Pork Bone Broth,Other
052-2017,19/05/2017,2017,II,2,210606,Beef Franks,Extraneous Material
053-2017,20/05/2017,2017,II,2,319000,Frozen meat and poultry products,Other
054-2017,24/05/2017,2017,II,2,90978,Breakfast sausage items,Extraneous Material
055-2017,25/05/2017,2017,I,1,5248,Waffles an Turkey Sausage,Listeria monocytogenes
056-2017,26/05/2017,2017,I,1,5163,Beef Broth Products,Other
057-2017,27/05/2017,2017,II,2,45985,Raw beef trimmimgs,Other
058-2017,02/06/2017,2017,I,1,2959,Gia Russa Double Stuffed Pepperoni ,Extraneous Material
059-2017,05/06/2017,2017,I,1,22832,Ground Beef and Beef Primals,E. coli
060-2017,08/06/2017,2017,I,1,54699,Raw Breaded Chicken Products,Undeclared Allergen
061-2017,08/06/2017,2017,I,1,174000,Various beef products ,Undeclared Allergen
062-2017,08/06/2017,2017,I,1,18570,Chicken Salad products,Undeclared Allergen
063-2017,08/06/2017,2017,I,1,4335,Ready-to-Eat (RTE) breaded chicken ,Undeclared Allergen
064-2017,09/06/2017,2017,I,1,44035,Raw sausage,Undeclared Allergen
065-2017,09/06/2017,2017,I,1,717338,RTE pasta and meatballs,Undeclared Allergen
066-2017,09/06/2017,2017,I,1,2415,Ready-to-eat meat and poultry salad,Listeria monocytogenes
067-2017,09/06/2017,2017,I,1,2485374,RTE breaded chicken products,Undeclared Allergen
068-2017,09/06/2017,2017,I,1,294744,RTE breaded chicken products,Undeclared Allergen
069-2017,10/06/2017,2017,I,1,9690,RTE chicken salad,Undeclared Allergen
070-2017,13/06/2017,2017,I,1,197,Freeze Dried Beef product,Extraneous Material
071-2017,13/06/2017,2017,I,1,114409,Beef Ravioli products,Undeclared Allergen
072-2017,14/06/2017,2017,I,1,31662,RTE beef and poultry products,Undeclared Allergen
073-2017,16/06/2017,2017,I,1,1190, Breaded Swai (Siluriformes),Undeclared Allergen
074-2017,16/06/2017,2017,I,1,984,Ham,Other
075-2017,16/06/2017,2017,I,1,325000,beef pork and duck fat and lard,Processing Defect
076-2017,23/06/2017,2017,I,1,61538,Sam's Choice brand Asian Style Beef,Undeclared Allergen
077-2017,23/06/2017,2017,I,1,4275425,Breaded RTE chicken nuggest,Undeclared Allergen
078-2017,24/06/2017,2017,I,1,54630,RTE chicken bites,Extraneous Material
079-2017,28/06/2017,2017,I,1,84000,Frozen Swai Fillets (Siluriformes),Other
080-2017,01/07/2017,2017,I,1,440,Buffalo Style Chicken Salad,Undeclared Allergen
081-2017,14/07/2017,2017,II,2,9444,Chicken Base and Beef Base Paste,Undeclared Allergen
082-2017,14/07/2017,2017,I,1,7196084,Hot dogs,Extraneous Material
083-2017,20/07/2017,2017,I,1,10,Pork Kolbassi,Other
084-2017,24/07/2017,2017,I,1,981,Stromboli products,Undeclared Allergen
085-2017,25/07/2017,2017,II,2,17847,PEPPERONI PIZZA ,Undeclared Allergen
086-2017,01/08/2017,2017,III,3,4922,Ground beef,Extraneous Material
087-2017,02/08/2017,2017,I,1,20638,NRTE chicken entrees,Undeclared Allergen
088-2017,05/08/2017,2017,II,2,115773,RTE ham products,Undeclared Allergen
089-2017,07/08/2017,2017,I,1,1290,Raw intact and non-intact beef ,E. coli
