Recall Number,Open Date,Year,Class(R),Class(A),Pounds Recalled,Product,Problem Type
048-2009,11/09/2009,2009,I,1,2000,Frozen Sausage Products,Undeclared Allergen
049-2009,11/09/2009,2009,I,1,2268,Beef and Bean Burrito Products,Listeria monocytogenes
050-2009,24/09/2009,2009,I,1,756,Braunschweiger Sausage Products,Undeclared Allergen
051-2009,25/09/2009,2009,II,2,28470,Frozen Skinless Sausage Cured Pork Longanisa,Undeclared Allergen
052-2009,13/10/2009,2009,I,1,925,Ground Beef Products,E. coli
053-2009,15/10/2009,2009,II,2,33000,Beef Tongues,Other
054-2009,16/10/2009,2009,I,1,11500,Meat and Poultry Products,Other
055-2009,17/10/2009,2009,II,2,5522,Beef Tongues,Other
056-2009,21/10/2009,2009,I,1,14,Smoked Beef Products,Listeria monocytogenes
057-2009,26/10/2009,2009,I,1,1039,Ground Beef Patties,E. coli
058-2009,28/10/2009,2009,II,2,91125,Canned Chili with Beans,Undeclared Allergen
059-2009,31/10/2009,2009,I,1,545699,Ground Beef Products,E. coli
060-2009,04/11/2009,2009,II,2,20286,Canned Cream of Mushroom Soup,Undeclared Allergen
061-2009,04/11/2009,2009,II,2,12181,Roast Beef Deli Products,Undeclared Allergen
062-2009,17/11/2009,2009,II,2,3790,Assorted Meat and Poultry Products,Other
063-2009,17/11/2009,2009,I,1,90,Ground Beef Products,E. coli
064-2009,27/11/2009,2009,II,2,110730,Frozen Beef Steak Fritter Products,Extraneous Material
065-2009,04/12/2009,2009,I,1,22723,Ground Beef Products,Salmonella
066-2009,21/12/2009,2009,I,1,68,Ground Beef Products,E. coli
067-2009,24/12/2009,2009,I,1,248000,Beef Products,E. coli
068-2009,24/12/2009,2009,I,1,312,Ham Products,Listeria monocytogenes
001-2010,09/01/2010,2010,I,1,205,Pork Skin Products,Undeclared Allergen
002-2010,11/01/2010,2010,I,1,2574,Beef Products,E. coli
003-2010,15/01/2010,2010,II,2,490,Beef Carcass,Other
004-2010,18/01/2010,2010,I,1,864000,Beef Products,E. coli
005-2010,20/01/2010,2010,I,1,19200,Frozen Chicken Pot Pie Products,Extraneous Material
006-2010,23/01/2010,2010,I,1,1395989,Italian Sausage Products,Salmonella
007-2010,27/01/2010,2010,II,2,50000,Instant Noodle Products,Other
008-2010,02/02/2010,2010,I,1,14000,Boneless Beef Products,E. coli
009-2010,05/02/2010,2010,II,2,2850,Pork Barbecue Products,Undeclared Allergen
010-2010,10/02/2010,2010,II,2,750,Frozen Cured Pork Patty Mix,Undeclared Allergen
011-2010,10/02/2010,2010,II,2,1485,RTE Sausage Products,Extraneous Material
012-2010,12/02/2010,2010,II,2,16290,Frozen Turkey Patty Products,Undeclared Allergen
004-2010 Expansion,12/02/2010,2010,I,1,4900000,Beef and Veal Products,Other
013-2010,02/03/2010,2010,I,1,96000,Beef Products, E. coli
014-2010,08/03/2010,2010,III,3,186,Baken-ets Fried Pork Skins,Undeclared Substance
015-2010,08/03/2010,2010,I,1,6000,RTE Bacon Base Product,Salmonella
016-2010,09/03/2010,2010,I,1,115700,RTE Beef Product,Salmonella
017-2010,09/03/2010,2010,I,1,1700000,RTE Beef Taquitos and Chicken Quesadilla Products,Salmonella
018-2010,11/03/2010,2010,I,1,Undetermined,Chicken Products,Other
019-2010,12/03/2010,2010,I,1,9400,Enchilada Products,Undeclared Allergen
020-2010,13/03/2010,2010,I,1,12382,Asian-Style Meat and Poultry Products,Other
021-2010,19/03/2010,2010,II,2,10368,Italian Turkey Sausage Products,Undeclared Allergen
022-2010,04/04/2010,2010,I,1,100,Ham Products,Listeria monocytogenes
023-2010,05/04/2010,2010,II,2,25000,Whole Beef Heads,Other
024-2010,17/04/2010,2010,II,2,140000,Fully Cooked Assorted Meat Products,Undeclared Allergen
025-2010,21/04/2010,2010,I,1,135500,Beef Trim Products, E. coli
026-2010,29/04/2010,2010,I,1,414,Brunswick Stew Products,Undeclared Allergen
027-2010,01/05/2010,2010,I,1,460,Fully Cooked Crumbled Pork Sausage Products,Listeria monocytogenes
028-2010,04/05/2010,2010,I,1,822,Prosciutto Products,Listeria monocytogenes
029-2010,05/05/2010,2010,I,1,70,Prosciutto Products,Listeria monocytogenes
030-2010,05/05/2010,2010,II,2,40,Buffalo Style Chicken Salad Products,Extraneous Material
031-2010,07/05/2010,2010,II,2,49600,Fully Cooked Mini Pretzel Dog Products,Other
032-2010,12/05/2010,2010,I,1,250,Chicken and Beef Puff Products,Undeclared Allergen
033-2010,12/05/2010,2010,II,2,87000,Imported Beef Products,Residue
034-2010,14/05/2010,2010,I,1,53000,Ground Beef Products, E. coli
035-2010,17/06/2010,2010,I,1,15000000,SpaghettiOs with Meatballs,Processing Defect
036-2010,17/06/2010,2010,I,1,6740000,Cheesy Chicken And Rice Frozen Meals,Salmonella
037-2010,22/06/2010,2010,I,1,3700,Ground Beef Products,E. coli
038-2010,22/06/2010,2010,I,1,35000,Ground Beef Products,E. coli
039-2010,24/06/2010,2010,II,2,61000,Cooked Canned and Frozen Beef Products,Residue
040-2010,25/06/2010,2010,II,2,109800,BBQ Chicken Pizza Products,Extraneous Material
041-2010,30/06/2010,2010,III,3,600,Beef Stroganoff with Noodles,Misbranding
042-2010,30/06/2010,2010,I,1,9408,Cervelat Summer Sausage,Undeclared Allergen
043-2010,02/07/2010,2010,I,1,66776,Ground and Tenderized Steak Bison Products,E. coli
044-2010,06/07/2010,2010,II,2,8000,Beef Jerky Products,Undeclared Allergen
045-2010,07/07/2010,2010,I,1,17,Fully Cooked Turkey Breast Products,Listeria monocytogenes
046-2010,19/07/2010,2010,II,2,91872,Frozen Chicken Nugget Products,Extraneous Material
047-2010,03/08/2010,2010,I,1,147667,Canned Meatball Products,Undeclared Allergen
048-2010,06/08/2010,2010,I,1,1000000,Frozen Ground Beef Patties and Bulk Ground Beef Products,E. coli
049-2010,23/08/2010,2010,I,1,380000,Deli Meat Products,Listeria monocytogenes
050-2010,28/08/2010,2010,I,1,8500,Ground Beef Products,E. coli
051-2010,01/09/2010,2010,I,1,2070,Cooked Shredded Pork Skin Products,Other
052-2010,13/09/2010,2010,III,3,258000,Cooked Beef Products,Other
053-2010,24/09/2010,2010,II,2,29893,Cured Uncooked Pork Ginger Sausage,Undeclared Allergen
054-2010,04/10/2010,2010,III,3,1608,Spicy Vegetable Potstickers,Misbranding
055-2010,20/10/2010,2010,I,1,4920,RTE Pork Barbecue Products,Salmonella
056-2010,22/10/2010,2010,II,2,2740,Beef Stick Products,Extraneous Material
057-2010,27/10/2010,2010,II,2,54000,RTE Pork Products,Other
058-2010,04/11/2010,2010,I,1,12086,Canned Meat and Poultry Products,Processing Defect
059-2010,05/11/2010,2010,I,1,7325,RTE Chicken Pasta Salad Products,Salmonella
060-2010,14/11/2010,2010,I,1,2609,Fully Cooked RTE Smoked Turkey Breast Products,Listeria monocytogenes
061-2010,23/11/2010,2010,I,1,57,Meat and Cheese Roll Appetizer Products,Listeria monocytogenes
062-2010,02/12/2010,2010,I,1,Undetermined,Various Meat and Poultry Products,Other
063-2010,03/12/2010,2010,I,1,41670,Chicken Tamales,Undeclared Allergen
064-2010,05/12/2010,2010,II,2,72000,Canned Chicken Salad Products,Extraneous Material
065-2010,08/12/2010,2010,II,2,2182,Raw Pork Paste & RTE Fried Pork Loaf Products,Undeclared Allergen
066-2010,10/12/2010,2010,I,1,14430,Sautéed Chicken Products,Undeclared Allergen
067-2010,17/12/2010,2010,II,2,25600,Ground Beef Products,Other
068-2010,29/12/2010,2010,II,2,3874,Teriyaki Beef Jerky Products,Undeclared Allergen
069-2010,30/12/2010,2010,I,1,180000,Breaded Chicken Wing Products,Undeclared Allergen
070-2010,30/12/2010,2010,I,1,34373,Organic Ground Beef Products,E. coli
001-2011,03/01/2011,2011,III,3,600,Frozen Chicken Mushroom Pies,Undeclared Substance
002-2011,06/01/2011,2011,I,1,144633,Frozen Meat and Poultry Tamale Products,Undeclared Allergen
003-2011,10/01/2011,2011,II,2,247800,Ground Beef Products,Other
004-2011,11/01/2011,2011,III,3,101629,Breakfast Stackers Sausage Egg & Cheese,Undeclared Substance
005-2011,14/01/2011,2011,II,2,2234,Beef Trim,Other
006-2011,18/01/2011,2011,I,1,7875,RTE Angus Beef Patties,Listeria monocytogenes
007-2011,28/01/2011,2011,II,2,654,Frozen Veal Ravioli Products,Undeclared Allergen
008-2011,05/02/2011,2011,I,1,3170,Ground Beef Products,E. coli
009-2011,09/02/2011,2011,I,1,4680,Barbecue Pork Products,Undeclared Allergen
010-2011,16/02/2011,2011,II,2,Undetermined,Chili Products,Undeclared Allergen
011-2011,23/02/2011,2011,III,3,1050,Chicken and Noodle Products,Other
012-2011,24/02/2011,2011,I,1,Undetermined,Meat and Poultry Products,Other
013-2011,25/02/2011,2011,III,3,87,Buffalo Chicken Cheese Dip Products,Undeclared Substance
014-2011,25/02/2011,2011,II,2,3339,Whole Chicken Products,Other
015-2011,28/02/2011,2011,I,1,775,Chicken and Mushroom Pie Products,Undeclared Allergen
016-2011,01/03/2011,2011,I,1,64000,Chicken and Pork Products,Listeria monocytogenes
017-2011,08/03/2011,2011,I,1,14158,Ground Beef Products,E. coli
018-2011,09/03/2011,2011,I,1,2997,Bologna Products,Processing Defect
019-2011,11/03/2011,2011,I,1,83,Red Meat Jerky Products,Undeclared Allergen
020-2011,11/03/2011,2011,II,2,5125,Honey Cured Turkey Sticks,Undeclared Allergen
021-2011,14/03/2011,2011,II,2,10260,Frozen Spaghetti and Meatball Entrees,Extraneous Material
022-2011,15/03/2011,2011,III,3,612,Pork Loin Cutlet Fritter Products,Undeclared Substance
023-2011,17/03/2011,2011,I,1,2790,Southwest Style Chicken Products,Undeclared Allergen
024-2011,21/03/2011,2011,III,3,2130,Smoked Ham and Bacon Products,Undeclared Substance
025-2011,22/03/2011,2011,I,1,23000,Lebanon Bologna Products,E. coli
026-2011,29/03/2011,2011,II,2,131000,Pizza Products,Undeclared Allergen
027-2011,31/03/2011,2011,I,1,53210,Frozen Cooked Italian Style Chicken Breast Fillet Products,Undeclared Allergen
028-2011,01/04/2011,2011,I,1,54960,Frozen Raw Turkey Burger Products,Salmonella
029-2011,27/04/2011,2011,II,2,87,Teriyaki Flavored Kippered Turkey and Beef Products,Undeclared Allergen
030-2011,29/04/2011,2011,II,2,772,Beef Jerky Products,Undeclared Allergen
031-2011,30/04/2011,2011,I,1,188181,Reduced Sodium Chicken Noodle Soup,Undeclared Allergen
032-2011,04/05/2011,2011,I,1,216238,Portobello Mushroom Flavored Pork Loins,Undeclared Allergen
033-2011,04/05/2011,2011,I,1,22000,RTE Fresh Salad Products,Salmonella
034-2011,06/05/2011,2011,II,2,285100,Barbecue Beef Pork and Chicken Products,Undeclared Allergen
035-2011,06/05/2011,2011,II,2,18648,Chicken Products,Undeclared Allergen
036-2011,11/05/2011,2011,III,3,252,Kippered Beef,Undeclared Substance
037-2011,13/05/2011,2011,I,1,15900,RTE Deli Meat Products,Listeria monocytogenes
R01-2011,25/05/2011,2011,I,1,500,Ground Beef Products,E. coli
038-2011,27/05/2011,2011,I,1,770,Asian Chicken Noodle Salad,Undeclared Allergen
039-2011,31/05/2011,2011,I,1,900,Ground Beef Products,E. coli
040-2011,02/06/2011,2011,III,3,22594,Chicken and Ham Salad Products,Undeclared Substance
041-2011,10/06/2011,2011,II,2,84000,Cooked Beef and Pork Meatball Products,Undeclared Allergen
042-2011,15/06/2011,2011,I,1,5160,Burgoo Soup,Undeclared Allergen
043-2011,21/06/2011,2011,I,1,3200,Raw and RTE Sausage Products,Other
044-2011,22/06/2011,2011,I,1,36,Pork Egg Rolls,Undeclared Allergen
045-2011,24/06/2011,2011,I,1,5700,Boneless Serrano Ham Products,Listeria monocytogenes
046-2011,05/07/2011,2011,I,1,18416,Boneless Fully Cooked Ham Products,Listeria monocytogenes
047-2011,06/07/2011,2011,I,1,1550,Convenience Meals,Listeria monocytogenes
048-2011,14/07/2011,2011,I,1,137,RTE Smoked Duck Breast Products,Salmonella
049-2011,14/07/2011,2011,I,1,197,RTE Smoked Duck Breast Products,Salmonella
050-2011,19/07/2011,2011,I,1,7105,RTE Chicken Turkey Beef and Pork Products,Listeria monocytogenes
051-2011,20/07/2011,2011,II,2,4530,Marinated Beef Products,Undeclared Allergen
052-2011,20/07/2011,2011,I,1,18412,RTE Chicken Products,Listeria monocytogenes
053-2011,22/07/2011,2011,II,2,6200,Various Beef Jerky Products,Undeclared Allergen
054-2011,22/07/2011,2011,II,2,2560,Chopped Beef Products,Other
055-2011,22/07/2011,2011,I,1,2900,Diced Bacon Products,Listeria monocytogenes
056-2011,27/07/2011,2011,I,1,228596,Beef Products,E. coli
057-2011,27/07/2011,2011,II,2,6240,Frozen Boneless Beef Products,Residue
058-2011,28/07/2011,2011,II,2,33,Teriyaki-Flavored Beef Jerky Products,Undeclared Allergen
059-2011,28/07/2011,2011,I,1,Undetermined,Various Meat Products,Other
060-2011,03/08/2011,2011,I,1,36000000,Fresh and Frozen Ground Turkey Products,Salmonella
061-2011,05/08/2011,2011,III,3,10668,Beef Patty Products,Extraneous Material
062-2011,09/08/2011,2011,I,1,2200,Ground Beef Products,E. coli
063-2011,12/08/2011,2011,I,1,380000,Diced Bacon Products,Listeria monocytogenes
064-2011,12/08/2011,2011,I,1,60424,Ground Beef Products,E. coli
065-2011,15/08/2011,2011,I,1,24,Summer Sausage Products,Undeclared Allergen
066-2011,19/08/2011,2011,III,3,1642,Ground Beef Products,Extraneous Material
067-2011,26/08/2011,2011,I,1,28782,Chicken Sausage Products,Undeclared Allergen
068-2011,26/08/2011,2011,I,1,52191,Chicken Caesar Salad Products,Undeclared Allergen
069-2011,26/08/2011,2011,I,1,229,Chicken Caesar Salads,Undeclared Allergen
070-2011,26/08/2011,2011,I,1,599,Chicken Caesar Salad Products,Undeclared Allergen
071-2011,11/09/2011,2011,I,1,185000,Fresh Ground Turkey Products,Salmonella
072-2011,20/09/2011,2011,I,1,11000,Chicken Beef Veal and Pork Dumpling Products,Undeclared Allergen
073-2011,21/09/2011,2011,I,1,360,Breaded Chicken Breast Products,Processing Defect
074-2011,22/09/2011,2011,II,2,72,Tongue and Blood Sausage,Undeclared Allergen
075-2011,23/09/2011,2011,I,1,40000, Frozen Fine Ground Beef Products ,E. coli
076-2011,26/09/2011,2011,I,1,5550,Pureed Pork Products,Extraneous Material
077-2011,27/09/2011,2011,I,1,131300,Ground Beef Products,E. coli
078-2011,30/09/2011,2011,I,1,80000,Beef Products,E. coli
079-2011,01/10/2011,2011,I,1,57,Salad Products,Salmonella
080-2011,11/10/2011,2011,I,1,377775,Ground Beef Products,E. coli
081-2011,12/10/2011,2011,II,2,875,Center Cut Steaks,Undeclared Allergen
082-2011,13/10/2011,2011,II,2,15760,Frozen Chicken and Steak Fajita Products,Other
083-2011,14/10/2011,2011,I,1,Undetermined,RTE Seasoned Beef and Shredded Pork Products,Other
084-2011,20/10/2011,2011,II,2,2325,Fully Cooked Skinless Turkey Breast Products,Undeclared Allergen
085-2011,25/10/2011,2011,II,2,22100,Carne Guisada,Undeclared Allergen
086-2011,26/10/2011,2011,I,1,4100,RTE Meals,Other
087-2011,27/10/2011,2011,III,3,8888,Frozen Meat and Poultry Pie Products,Unapproved Substance
088-2011,31/10/2011,2011,II,2,11390,Chicken Pot Pie Empanadas,Extraneous Material
089-2011,07/11/2011,2011,I,1,126,Beef Jerky Products,Salmonella
090-2011,08/11/2011,2011,I,1,Undetermined,Broiled Chicken Liver Products,Salmonella
091-2011,14/11/2011,2011,III,3,63,Veal Russian Brand Dumplings,Other
092-2011,23/11/2011,2011,I,1,1080,Stuffed Chicken Products,Undeclared Allergen
093-2011,28/11/2011,2011,II,2,1010,British Style Banger Sausages,Undeclared Allergen
094-2011,29/11/2011,2011,I,1,456,Chicken Sausages,Undeclared Allergen
095-2011,02/12/2011,2011,II,2,500,Frozen Pureed Chicken Products,Undeclared Allergen
096-2011,08/12/2011,2011,II,2,161000,Frozen Stuffed Pasta Products,Other
097-2011,09/12/2011,2011,I,1,4140,Cooked Chicken Breasts,Listeria monocytogenes
098-2011,10/12/2011,2011,II,2,2290,Chorizo Sausage Product,Undeclared Allergen
099-2011,15/12/2011,2011,II,2,130,Meatloaf Entrées,Undeclared Allergen
100-2011,15/12/2011,2011,I,1,Undetermined,Fresh Ground Beef Products,Salmonella
101-2011,16/12/2011,2011,I,1,40948,Ground Beef Products,E. coli
102-2011,30/12/2011,2011,I,1,7500,Marinated Beef and Chicken Products,Undeclared Allergen
001-2012,14/01/2012,2012,I,1,3104,Seasoned Diced Beef Products,Extraneous Material
002-2012,27/01/2012,2012,I,1,2645,Beef Sirloin Products,Undeclared Allergen
003-2012,27/01/2012,2012,I,1,118,Julienne Salad Products,Listeria monocytogenes
004-2012,02/02/2012,2012,I,1,23,Chef Salad Products,Listeria monocytogenes
005-2012,03/02/2012,2012,I,1,515,Cobb Salad Products,Listeria monocytogenes
006-2012,03/02/2012,2012,I,1,389,Cobb and Spinach Salads,Listeria monocytogenes
007-2012,07/02/2012,2012,I,1,1200,Chicken Salad Products,Listeria monocytogenes
008-2012,10/02/2012,2012,II,2,25600,Cooked Pork Hocks,Undeclared Allergen
009-2012,15/02/2012,2012,I,1,Undetermined,Meat and Poultry Products,Other
010-2012,16/02/2012,2012,I,1,3800,Chili Products,Other
011-2012,27/02/2012,2012,III,3,200,Country Breakfast Sausage,Undeclared Substance
012-2012,02/03/2012,2012,II,2,147,Frozen RTE Pizza Stick Products,Other
013-2012,06/03/2012,2012,II,2,12060,Pizza Topping Products,Undeclared Allergen
014-2012,17/03/2012,2012,I,1,1784,Grilled Chicken Caesar Wrap,Undeclared Allergen
015-2012,19/03/2012,2012,III,3,84587,Pork Product,Other
016-2012,21/03/2012,2012,I,1,2373,RTE Beef Sausage Products,Listeria monocytogenes
017-2012,24/03/2012,2012,I,1,16800,Ground Beef Patties,E. coli
018-2012,26/03/2012,2012,I,1,64020,Smoked Sausage Product,Undeclared Allergen
019-2012,29/03/2012,2012,I,1,1100,Stuffed Layered Beef Products,Listeria monocytogenes
020-2012,30/03/2012,2012,I,1,187,Chicken Products,Undeclared Allergen
021-2012,31/03/2012,2012,II,2,26136,Chicken Apple Sausage Products,Extraneous Material
022-2012,03/04/2012,2012,I,1,5400,Stuffed Potato Product,Undeclared Allergen
023-2012,06/04/2012,2012,III,3,50820,Steamed BBQ Flavored Pork Buns,Undeclared Substance
024-2012,11/04/2012,2012,I,1,2057,Ground and Tenderized Beef Products,E. coli
025-2012,17/04/2012,2012,II,2,16890,Frozen Entrées,Undeclared Allergen
026-2012,20/04/2012,2012,I,1,3000,Sausage Products,Undeclared Allergen
027-2012,20/04/2012,2012,I,1,311,Pizza Calzone Products,Listeria monocytogenes
028-2012,10/05/2012,2012,II,2,5156,Chorizo Product,Undeclared Allergen
029-2012,17/05/2012,2012,II,2,3300,Beef Samosa Products,Other
030-2012,17/05/2012,2012,I,1,20520,Lamb Koftis,Undeclared Allergen
031-2012,18/05/2012,2012,II,2,15040,Turkey Burger Product,Undeclared Allergen
032-2012,19/05/2012,2012,II,2,456,Steakhouse Burgers,Undeclared Allergen
033-2012,22/05/2012,2012,II,2,13776,Lasagna Products,Undeclared Allergen
034-2012,24/05/2012,2012,II,2,3660,Smoked Bratwurst Product,Undeclared Allergen
035-2012,24/05/2012,2012,II,2,100,Frozen Raw Chicken Breast Product,Undeclared Allergen
036-2012,01/06/2012,2012,II,2,13200,Raw and RTE Pork Roll Products,Undeclared Allergen
037-2012,02/06/2012,2012,I,1,400,RTE Pork Product,Listeria monocytogenes
038-2012,06/06/2012,2012,I,1,96408,Meat Lasagna Products,Undeclared Allergen
039-2012,11/06/2012,2012,III,3,55757,Pork Dumpling Products,Undeclared Substance
040-2012,13/06/2012,2012,I,1,3534,Raw Stuffed Chicken Product,Undeclared Allergen
041-2012,21/06/2012,2012,III,3,1350,Ground Smoked Bacon Product,Extraneous Material
042-2012,07/07/2012,2012,I,1,324770,Frozen RTE Meat and Poultry Meatballs,Listeria monocytogenes
043-2012,13/07/2012,2012,II,2,94850,Corn Chowder Soup Products,Extraneous Material
044-2012,19/07/2012,2012,I,1,72510,Frozen RTE Meat and Poultry Meatballs,Listeria monocytogenes
045-2012,22/07/2012,2012,I,1,29339,Ground Beef Products,Salmonella
046-2012,26/07/2012,2012,I,1,79,Chicken and Yam Pie Products,Undeclared Allergen
047-2012,27/07/2012,2012,I,1,5610,Barbeque Chicken Salads,Listeria monocytogenes
048-2012,27/07/2012,2012,I,1,735,RTE Chipotle Chicken Wrap Products,Listeria monocytogenes
049-2012,27/07/2012,2012,I,1,314,Sausage Products,Listeria monocytogenes
050-2012,27/07/2012,2012,II,2,70500,Canned Premium Chunk Chicken,Undeclared Allergen
051-2012,01/08/2012,2012,I,1,13600,Meat and Poultry Salad Products,Listeria monocytogenes
052-2012,02/08/2012,2012,II,2,37600,Frozen Bacon Cheeseburger Patties,Extraneous Material
053-2012,05/08/2012,2012,I,1,15880,RTE Meat and Poultry Products,Listeria monocytogenes
054-2012,06/08/2012,2012,III,3,6210,Chorizo Sausage,Undeclared Substance
055-2012,14/08/2012,2012,I,1,38200,Beef Products,E. coli
056-2012,15/08/2012,2012,II,2,4100,Meat and Poultry Soup Products,Extraneous Material
057-2012,15/08/2012,2012,II,2,48000,Turkey Sausage with Cheddar Cheese Products,Extraneous Material
058-2012,16/08/2012,2012,III,3,605,Frozen Boneless Rib-Shaped Patties with BBQ Sauce,Other
059-2012,16/08/2012,2012,I,1,77688,Grilled Chicken Caesar Salad Kits,Salmonella
060-2012,30/08/2012,2012,III,3,2920,Frozen Bratwurst Patties,Extraneous Material
061-2012,14/09/2012,2012,II,2,2250,Crunchy Chicken Strip Products,Extraneous Material
062-2012,21/09/2012,2012,I,1,1305,Bratwurst Sausage Products,Undeclared Allergen
063-2012,28/09/2012,2012,I,1,16576,Corn Dog Products,Undeclared Allergen
064-2012,05/10/2012,2012,II,2,3744,Chicken Quesadilla Product,Undeclared Allergen
065-2012,10/10/2012,2012,I,1,67269,Boneless Chicken Wyngz,Undeclared Allergen
066-2012,15/10/2012,2012,I,1,8200,Various Beef and Pork Products,Other
067-2012,22/10/2012,2012,III,3,1768600,Maple Sausage Links and Patties,Undeclared Substance
068-2012,22/10/2012,2012,I,1,2310,Ground Beef Products,E. coli
069-2012,22/10/2012,2012,I,1,4100,Ground Beef Products,E. coli
070-2012,30/10/2012,2012,II,2,11400,Frozen Chicken Enchilada Products,Extraneous Material
071-2012,01/11/2012,2012,I,1,1440,Chicken Breast Nugget Products,Undeclared Allergen
072-2012,02/11/2012,2012,II,2,28528,Frozen Fully Cooked Chicken Products,Extraneous Material
073-2012,09/11/2012,2012,II,2,99,Beef Tongue Products,Other
074-2012,13/11/2012,2012,I,1,90975,Bourbon Barbecue Sausage Products,Processing Defect
075-2012,20/11/2012,2012,III,3,16100,Kielbasa Products,Extraneous Material
076-2012,21/11/2012,2012,III,3,1331,Chicken Empanadas,Undeclared Substance
077-2012,29/11/2012,2012,III,3,271,Jalapeño Vienna Sausage Products,Undeclared Substance
078-2012,04/12/2012,2012,I,1,2375,RTE Beef and Cheese Pie Products,Other
079-2012,06/12/2012,2012,II,2,35800,Breaded Chicken Products,Extraneous Material
080-2012,14/12/2012,2012,I,1,2650,Mortadella,Undeclared Allergen
081-2012,21/12/2012,2012,I,1,6039,Pigs in the Blanket Products,Undeclared Allergen
082-2012,21/12/2012,2012,I,1,2320,Frozen Honey BBQ Chicken Wing Products,Undeclared Allergen
001-2013,15/01/2013,2013,I,1,2532,Ground Beef Products,E. coli
002-2013,17/01/2013,2013,I,1,2764,Poultry Products,Other
003-2013,18/01/2013,2013,I,1,1572,Chicken Nuggets,Undeclared Allergen
004-2013,19/01/2013,2013,I,1,33500,Cooked Meat and Poultry Products,Listeria monocytogenes
005-2013,22/01/2013,2013,III,3,79400,Marinated Pork and Chicken Products,Undeclared Substance
006-2013,23/01/2013,2013,II,2,Undetermined,Frozen Pizza,Extraneous Material
007-2013,24/01/2013,2013,I,1,4700,Head Cheese,Salmonella
008-2013,24/01/2013,2013,I,1,500,Ground Beef,Salmonella
009-2013,25/01/2013,2013,I,1,550,Ground Beef,Salmonella
010-2013,25/01/2013,2013,I,1,1200,Chicken Fried Chicken Breasts,Extraneous Material
011-2013,28/01/2013,2013,II,2,213,Beef Jerky,Undeclared Allergen
012-2013,30/01/2013,2013,I,1,1260,Veal Trimmings,E. coli
013-2013,31/01/2013,2013,II,2,685,Tamales,Undeclared Allergen
014-2013,02/02/2013,2013,I,1,4454,Liver Pâté,Undeclared Allergen
015-2013,08/02/2013,2013,I,1,15328,Country Fried Steaks,Extraneous Material
016-2013,14/02/2013,2013,I,1,315,Roast Beef,Listeria monocytogenes
017-2013,21/02/2013,2013,II,2,38000,Mild Pork Sausage Roll,Extraneous Material
018-2013,27/02/2013,2013,II,2,8424,Chicken Sausage Product,Extraneous Material
019-2013,02/03/2013,2013,I,1,6586,Ham Products,Other
020-2013,06/03/2013,2013,II,2,25000,Bolognese Sauce,Undeclared Allergen
021-2013,12/03/2013,2013,I,1,6120,Chicken Sausages,Listeria monocytogenes
022-2013,15/03/2013,2013,I,1,2433,Pork Products,Other
023-2013,15/03/2013,2013,III,3,5820,Ground Beef,Extraneous Material
024-2013,25/03/2013,2013,II,2,15270,Bone-in Ribeye,Other
025-2013,28/03/2013,2013,I,1,10500000,Frozen Meal and Snack Products,E. coli
026-2013,02/04/2013,2013,I,1,127000,Breaded Chicken Products,Undeclared Allergen
027-2013,10/04/2013,2013,II,2,1133,Pork Jerky,Undeclared Allergen
028-2013,10/04/2013,2013,I,1,468000,RTE Deli Meats,Listeria monocytogenes
029-2013,01/05/2013,2013,I,1,25000,Frozen Pasta Products,Other
030-2013,02/05/2013,2013,I,1,234,Chorizo and Mozzarella Roll,Undeclared Allergen
031-2013,02/05/2013,2013,I,1,97000,Frozen Pizzas,Extraneous Material
032-2013,02/05/2013,2013,I,1,123,RTE Meatballs,Listeria monocytogenes
033-2013,07/05/2013,2013,I,1,200,Pork Sausages,Other
034-2013,10/05/2013,2013,I,1,17037,Stew Products,Undeclared Allergen
035-2013,10/05/2013,2013,I,1,1471,Pork Pies,Undeclared Allergen
036-2013,21/05/2013,2013,II,2,6165,RTE Grilled Chicken Strips,Undeclared Allergen
037-2013,03/06/2013,2013,I,1,2025,Beef Lasagna,Undeclared Allergen
038-2013,12/06/2013,2013,I,1,678,BBQ Flavored Ranch Salad with Chicken,Undeclared Allergen
039-2013,12/06/2013,2013,II,2,1800,Beef Jerky,Undeclared Allergen
040-2013,18/06/2013,2013,I,1,22737,Ground Beef,E. coli
041-2013,19/06/2013,2013,II,2,18000,Mechanically Separated Chicken,Extraneous Material
042-2013,26/06/2013,2013,II,2,12560,Blue Cheese Chicken Dip Products,Undeclared Allergen
043-2013,31/07/2013,2013,I,1,50100,Ground Beef,E. coli
044-2013,31/07/2013,2013,I,1,2486,Frozen Chicken Meals,Undeclared Allergen
045-2013,09/08/2013,2013,I,1,12600,Boneless Veal,E. coli
046-2013,23/08/2013,2013,II,2,69123,Cured Pork Products,Undeclared Allergen
047-2013,28/08/2013,2013,I,1,109,Beef Jerky,Processing Defect
048-2013,28/08/2013,2013,I,1,116404,Beef Pattie and Chub Products,Undeclared Allergen
049-2013,30/08/2013,2013,I,1,1740,Spaghettios,Undeclared Allergen
050-2013,06/09/2013,2013,I,1,1650,Calzones,Undeclared Allergen
051-2013,12/09/2013,2013,I,1,690,Beef Tongue Root Filet Products,E. coli
052-2013,13/09/2013,2013,I,1,420,Provance French Puff Pastry Product,Undeclared Allergen
053-2013,16/09/2013,2013,I,1,169655,Ravioli Products,Other
